program_id,course_title,url,num_learning_objectives,num_modules,num_module_contents,coverage_percentage,mean_max_similarity
127,Innovating with the Business Model Canvas,https://www.coursera.org/learn/uva-darden-innovation-business-model-canvas,7,2,28,42.857142857142854,0.5387849935463497
127,Financial Accounting Fundamentals,https://www.coursera.org/learn/uva-darden-financial-accounting,7,5,73,100.0,0.6883405557700566
127,Ethical Leadership Through Giving Voice to Values,https://www.coursera.org/learn/uva-darden-giving-voice-to-values,14,4,49,35.714285714285715,0.42762031118784627
128,"Surveillance Systems: Analysis, Dissemination, and Special Systems",https://www.coursera.org/learn/epidemiology-surveillance-systems-analysis,6,4,33,66.66666666666666,0.6396410288910072
128,Surveillance Systems: The Building Blocks,https://www.coursera.org/learn/epidemiology-surveillance-systems,5,4,39,100.0,0.7460388803482056
128,Outbreaks and Epidemics,https://www.coursera.org/learn/outbreaks-epidemics,4,4,24,75.0,0.6752964682877064
128,Data and Health Indicators in Public Health Practice,https://www.coursera.org/learn/data-public-health,2,4,37,100.0,0.7177209123969077
128,Essential Epidemiologic Tools for Public Health Practice,https://www.coursera.org/learn/epidemiology-tools,6,4,21,100.0,0.7216282472014427
129,Leading from Within,https://www.coursera.org/learn/leading-from-within,1,4,56,100.0,0.6193332672119141
129,Ethics of Communication,https://www.coursera.org/learn/ethics-of-communication,1,4,24,0.0,0.2895195484161377
129,Ethics of Technology,https://www.coursera.org/learn/ethical-use-of-technology,5,4,18,0.0,0.41590182244777674
129,The Discipline of Leadership,https://www.coursera.org/learn/the-discipline-of-leadership,1,4,17,100.0,0.7507040500640869
129,Why Business? What is the Role of Business in a Just and Humane Society,https://www.coursera.org/learn/why-business,4,4,23,50.0,0.5022620901465416
129,Leadership for an Increasingly Diverse World,https://www.coursera.org/learn/leadership-in-an-increasingly-diverse-world,2,4,18,100.0,0.5874666064977645
130,European Business Law: Understanding the Fundamentals,https://www.coursera.org/learn/european-law-fundamentals,6,6,32,66.66666666666666,0.5414276237289111
130,European Business Law: Doing Business in Europe,https://www.coursera.org/learn/eu-law-doing-business,6,6,39,50.0,0.5434691277643044
130,European Business Law: Competing in Europe,https://www.coursera.org/learn/eu-competition-law,6,6,38,66.66666666666666,0.5837558731436728
131,"Everyday Excel, Part 2",https://www.coursera.org/learn/everyday-excel-part-2,8,5,62,25.0,0.4767679119482636
131,"Everyday Excel, Part 3 (Projects)",https://www.coursera.org/learn/everyday-excel-projects,6,5,39,16.666666666666664,0.40870374043782554
131,"Everyday Excel, Part 1",https://www.coursera.org/learn/everyday-excel-part-1,13,5,73,61.53846153846154,0.5120136606005521
132,Machine Learning Implementation and Operations in AWS,https://www.coursera.org/learn/machine-learning-implementation-and-operations-in-aws,3,2,16,100.0,0.8309698681036631
132,ML Algorithms,https://www.coursera.org/learn/ml-algorithms,3,2,19,100.0,0.6696874717871347
132,Modeling in AWS,https://www.coursera.org/learn/modeling-in-aws,3,2,14,100.0,0.7362446784973145
132,Data Engineering in AWS,https://www.coursera.org/learn/data-engineering-in-aws,3,2,18,66.66666666666666,0.7166388541460037
132,Exploratory Data Analysis in AWS,https://www.coursera.org/learn/exploratory-data-analysis-in-aws,3,2,25,100.0,0.86668388346831
133,Excel Skills for Business: Intermediate II,https://www.coursera.org/learn/excel-intermediate-2,1,7,50,0.0,0.3396487832069397
133,Excel Skills for Business: Intermediate I,https://www.coursera.org/learn/excel-intermediate-1,1,7,52,0.0,0.3399088680744171
133,Excel Skills for Business: Advanced,https://www.coursera.org/learn/excel-advanced,1,7,43,100.0,0.5736112594604492
133,Excel Skills for Business: Essentials,https://www.coursera.org/learn/excel-essentials,2,7,59,50.0,0.5574078224599361
134,Excel Fundamentals for Data Analysis,https://www.coursera.org/learn/excel-data-analysis-fundamentals,6,7,35,50.0,0.5012888123591741
134,Excel Power Tools for Data Analysis,https://www.coursera.org/learn/excel-power-tools,7,5,35,71.42857142857143,0.5618338174053601
134,Data Visualization in Excel,https://www.coursera.org/learn/excel-data-visualization,6,7,35,33.33333333333333,0.4628395043313503
135,Managing Big Data with MySQL,https://www.coursera.org/learn/analytics-mysql,8,6,29,87.5,0.5521492099389433
135,Increasing Real Estate Management Profits: Harnessing Data Analytics,https://www.coursera.org/learn/analytics-capstone,5,7,25,60.0,0.49751493513584133
135,Mastering Data Analysis in Excel,https://www.coursera.org/learn/analytics-excel,8,7,41,50.0,0.47928932830691334
135,Data Visualization and Communication with Tableau,https://www.coursera.org/learn/analytics-tableau,3,6,62,100.0,0.6589367588361105
135,Business Metrics for Data-Driven Companies,https://www.coursera.org/learn/analytics-business-metrics,14,5,37,50.0,0.4933703016489744
136,"Excel/VBA for Creative Problem Solving, Part 1",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,11,6,67,45.45454545454545,0.5142759098248049
136,"Excel/VBA for Creative Problem Solving, Part 2",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-2,12,4,52,33.33333333333333,0.49982380221287404
136,"Excel/VBA for Creative Problem Solving, Part 3 (Projects)",https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-3-projects,3,5,57,33.33333333333333,0.4221139997243881
137,Building a Data Science Team,https://www.coursera.org/learn/build-data-science-team,8,1,17,50.0,0.594893311522901
137,Data Science in Real Life,https://www.coursera.org/learn/real-life-data-science,8,1,22,50.0,0.5545986898243427
137,Executive Data Science Capstone,https://www.coursera.org/learn/executive-data-science-capstone,6,1,3,0.0,0.3559391127278407
137,Managing Data Analysis,https://www.coursera.org/learn/managing-data-analysis,12,1,19,33.33333333333333,0.52009083814919
137,A Crash Course in Data Science,https://www.coursera.org/learn/data-science-course,15,1,11,80.0,0.5525449289878209
138,Integral Calculus and Numerical Analysis for Data Science,https://www.coursera.org/learn/integral-calculus-and-numerical-analysis-for-data-science,7,4,19,71.42857142857143,0.5610812351107597
138,Algebra and Differential Calculus for Data Science,https://www.coursera.org/learn/algebra-and-differential-calculus-for-data-science,10,6,29,50.0,0.5124963193386793
138,Essential Linear Algebra for Data Science,https://www.coursera.org/learn/essential-linear-algebra-for-data-science,6,5,51,50.0,0.49449278712272643
139,Introduction to Python Fundamentals,https://www.coursera.org/learn/introduction-python-fundamentals,8,4,26,37.5,0.4745180994272232
139,Python Packages for Data Science,https://www.coursera.org/learn/python-packages-data-science,4,4,17,50.0,0.5218468867242336
139,Introduction to Python Functions,https://www.coursera.org/learn/introduction-python-functions,4,4,15,0.0,0.3420960552990436
140,User Experience & Interaction Design for AR/VR/MR/XR,https://www.coursera.org/learn/user-experience-interaction-design-augmented-virtual-mixed-extended-reality,10,4,47,80.0,0.5953908357024191
140,"Developing AR/VR/MR/XR Apps with WebXR, Unity & Unreal",https://www.coursera.org/learn/develop-augmented-virtual-mixed-extended-reality-applications-webxr-unity-unreal,10,4,48,40.0,0.5427406583726405
140,"Intro to AR/VR/MR/XR: Technologies, Applications & Issues",https://www.coursera.org/learn/intro-augmented-virtual-mixed-extended-reality-technologies-applications-issues,6,4,36,66.66666666666666,0.6353830397129058
141,FPGA Softcore Processors and IP Acquisition,https://www.coursera.org/learn/fpga-softcore-proccessors-ip,5,4,33,80.0,0.6264626562595368
141,Introduction to FPGA Design for Embedded Systems,https://www.coursera.org/learn/intro-fpga-design-embedded-systems,6,4,37,50.0,0.5350888590017955
141,FPGA Capstone:  Building FPGA Projects,https://www.coursera.org/learn/capstone-fpga-design,5,4,11,60.0,0.46814250349998476
141,Hardware Description Languages for FPGA Design,https://www.coursera.org/learn/fpga-hardware-description-languages,5,4,41,40.0,0.47555377066135407
142,Financial Acumen for Non-Financial Managers,https://www.coursera.org/learn/finance-healthcare-managers,4,8,56,75.0,0.6054124735295772
143,Product Cost and Investment Cash Flow Analysis ,https://www.coursera.org/learn/product-cost-and-investment-cash-flow-analysis,8,5,40,75.0,0.5960140785202384
143,Project Valuation and the Capital Budgeting Process,https://www.coursera.org/learn/project-valuation-and-the-capital-budgeting-process,21,5,33,71.42857142857143,0.599731620436623
143,Financial Forecasting and Reporting,https://www.coursera.org/learn/financial-forecasting-and-reporting,20,5,40,85.0,0.6767139448225498
144,"Introduction to Financial Analysis - The ""Why?""",https://www.coursera.org/learn/introduction-to-financial-analysis-the-why,9,3,26,77.77777777777779,0.6449605196714401
144,Financial Analysis of Organizations,https://www.coursera.org/learn/financial-analysis-of-organizations,8,4,29,37.5,0.4952677154913544
144,Financial Analysis of Scenarios and Decisions,https://www.coursera.org/learn/financial-analysis-of-scenarios-and-decisions,6,4,49,83.33333333333334,0.5802456960082054
145, Optimization Methods in Asset Management,https://www.coursera.org/learn/financial-engineering-optimizationmethods,5,6,36,20.0,0.403599265217781
145,Term-Structure and Credit Derivatives ,https://www.coursera.org/learn/financial-engineering-termstructure,1,6,44,0.0,0.4520301818847656
145,Computational Methods in Pricing and Model Calibration,https://www.coursera.org/learn/financial-engineering-computationalmethods,1,5,47,0.0,0.3221535682678222
