,url
439,https://www.coursera.org/professional-certificates/azure-developer-associate
440,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst
441,https://www.coursera.org/professional-certificates/microsoft-power-bi-data-analyst
442,https://www.coursera.org/professional-certificates/gcp-cloud-architect
443,https://www.coursera.org/professional-certificates/gcp-data-engineering
444,https://www.coursera.org/professional-certificates/sre-devops-engineer-google-cloud
445,https://www.coursera.org/professional-certificates/google-cloud-developer
446,https://www.coursera.org/professional-certificates/cloud-engineering-gcp
447,https://www.coursera.org/professional-certificates/preparing-for-google-cloud-machine-learning-engineer-professional-certificate
448,https://www.coursera.org/professional-certificates/pwc-gst-taxation-executive
449,https://www.coursera.org/professional-certificates/sap-technology-consultant
450,https://www.coursera.org/professional-certificates/sas-advanced-programmer
451,https://www.coursera.org/professional-certificates/sas-programming
452,https://www.coursera.org/professional-certificates/sas-visual-business-analytics
453,https://www.coursera.org/professional-certificates/sales-development-representative
454,https://www.coursera.org/professional-certificates/salesforce-sales-operations
455,https://www.coursera.org/professional-certificates/tableau-business-intelligence-analyst
456,https://www.coursera.org/professional-certificates/tally-bookkeeper
457,https://www.coursera.org/professional-certificate/applied-project-management
458,https://www.coursera.org/professional-certificates/microsoft-business-analyst
459,https://www.coursera.org/professional-certificates/meta-data-analyst
460,https://www.coursera.org/professional-certificates/microsoft-excel-skills
461,https://www.coursera.org/professional-certificates/libertymutual-insurancesalesagent
462,https://www.coursera.org/professional-certificates/palo-alto-networks-cybersecurity-fundamentals
463,https://www.coursera.org/professional-certificates/sas-statistical-business-analyst
464,https://www.coursera.org/professional-certificates/dell-technologies-technical-customer-support-specialist
465,https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist
466,https://www.coursera.org/professional-certificates/certified-data-science-practitioner
467,https://www.coursera.org/professional-certificates/xbox-product-manager
468,https://www.coursera.org/professional-certificates/xbox-graphic-designer
469,https://www.coursera.org/professional-certificates/mathworks-computer-vision-engineer
470,https://www.coursera.org/professional-certificates/adp-compensation-benefits-analyst
471,https://www.coursera.org/professional-certificates/akamai-network-engineering
472,https://www.coursera.org/professional-certificates/akamai-customer-consulting-and-support
473,https://www.coursera.org/professional-certificates/unilever-supply-chain-data-analyst
474,https://www.coursera.org/professional-certificates/keller-williams-real-estate-agent
475,https://www.coursera.org/professional-certificates/johns-hopkins-medical-office-manager
